# t rg re1 re2
1 8.626014 28.487015 28.487015
2 7.962279 25.491154 25.491154
3 7.417504 24.200173 24.200173
4 7.051701 22.005411 22.005411
5 6.726243 19.421155 19.421155
6 6.465570 17.904942 17.904942
7 6.346710 19.747218 19.747218
8 6.300284 20.800689 20.800689
9 6.423042 21.336929 21.336929
10 6.414901 20.995913 20.995913
11 6.234037 20.061528 20.061528
12 6.119845 19.177851 19.177851
13 6.062967 18.253716 18.253716
14 6.148870 18.510906 18.510906
15 6.043999 17.581664 17.581664
16 6.004445 18.479184 18.479184
17 5.654889 16.664025 16.664025
18 5.261193 17.265961 17.265961
19 5.131300 16.647010 16.647010
20 5.393569 16.400971 16.400971
21 5.630612 17.131593 17.131593
22 5.819000 18.527488 18.527488
23 5.860399 17.132708 17.132708
24 5.792182 16.630790 16.630790
25 5.606979 17.639631 17.639631
26 5.459392 19.124912 19.124912
27 5.269150 17.026090 17.026090
28 5.178198 16.944422 16.944422
29 5.280138 16.176304 16.176304
30 5.532797 16.910210 16.910210
31 5.595836 17.191684 17.191684
32 5.401326 16.300021 16.300021
33 5.209782 14.804242 14.804242
34 5.056251 13.467365 13.467365
35 5.002861 13.687543 13.687543
36 5.057722 12.637079 12.637079
37 4.921378 10.753733 10.753733
38 4.876977 10.970531 10.970531
39 4.876936 10.570846 10.570846
40 5.033028 11.080424 11.080424
41 4.996055 11.151829 11.151829
42 4.963642 12.396815 12.396815
43 4.758514 13.797165 13.797165
44 4.538957 12.962658 12.962658
45 4.573795 13.342194 13.342194
46 4.664717 12.588068 12.588068
47 4.713956 12.549208 12.549208
48 4.698807 12.241526 12.241526
49 4.559038 11.354646 11.354646
50 4.464071 11.397253 11.397253
51 4.261081 13.503339 13.503339
52 4.199487 12.775855 12.775855
53 4.004236 12.424541 12.424541
54 3.905186 11.617351 11.617351
55 3.743086 11.270380 11.270380
56 3.558018 9.836973 9.836973
57 3.708465 10.515244 10.515244
58 3.798248 9.609976 9.609976
59 3.796430 7.814970 7.814970
60 3.952392 7.725236 7.725236
61 4.131414 9.277576 9.277576
62 4.025536 9.725635 9.725635
63 3.716381 9.382183 9.382183
64 3.684044 9.323205 9.323205
65 3.771218 8.394997 8.394997
66 3.789097 7.824784 7.824784
67 3.681732 6.118537 6.118537
68 3.743917 7.019489 7.019489
69 3.639630 7.190694 7.190694
70 3.621802 7.069721 7.069721
71 3.518239 8.023074 8.023074
72 3.542917 6.957756 6.957756
73 3.780649 8.070774 8.070774
74 4.081539 8.693225 8.693225
75 4.235098 10.204164 10.204164
76 4.379285 10.650743 10.650743
77 4.505397 12.357241 12.357241
78 4.652402 12.836069 12.836069
79 4.465745 12.145125 12.145125
80 4.436136 12.899734 12.899734
81 4.401657 12.453207 12.453207
82 4.480830 13.125105 13.125105
83 4.387795 13.237218 13.237218
84 4.149991 12.099580 12.099580
85 4.055257 11.618683 11.618683
86 3.876486 11.864975 11.864975
87 3.880592 12.019281 12.019281
88 3.868957 10.171119 10.171119
89 3.778170 9.680426 9.680426
90 3.611809 10.454047 10.454047
91 3.575869 10.317387 10.317387
92 3.665518 11.796121 11.796121
93 3.877608 12.455126 12.455126
94 4.190198 11.231535 11.231535
95 4.413208 11.393002 11.393002
96 4.362828 12.024096 12.024096
97 3.978477 9.779493 9.779493
98 3.781564 7.711274 7.711274
99 3.693352 7.165679 7.165679
100 3.496260 5.757069 5.757069
101 3.387460 7.054672 7.054672
102 3.280288 7.734786 7.734786
103 3.228010 7.404335 7.404335
104 3.214924 7.861940 7.861940
105 3.307115 8.807673 8.807673
106 3.499086 11.621352 11.621352
107 3.479535 10.594471 10.594471
108 3.617152 10.357985 10.357985
109 3.772903 11.086652 11.086652
110 4.106487 9.956721 9.956721
111 4.242273 10.852387 10.852387
112 4.325656 11.863775 11.863775
113 4.445230 11.853057 11.853057
114 4.415310 11.120002 11.120002
115 4.299017 10.270657 10.270657
116 4.343370 11.304651 11.304651
117 4.110053 11.123480 11.123480
118 3.957107 11.001840 11.001840
119 4.034300 12.013151 12.013151
120 4.015524 11.859017 11.859017
121 3.812106 10.783103 10.783103
122 3.725169 9.859504 9.859504
123 3.702097 9.920011 9.920011
124 3.610491 9.818233 9.818233
125 3.441566 8.653621 8.653621
126 3.216121 9.423152 9.423152
127 3.270032 10.667472 10.667472
128 3.272097 9.923540 9.923540
129 3.320710 10.511589 10.511589
130 3.308379 11.137093 11.137093
131 3.135158 10.018202 10.018202
132 2.867197 7.665948 7.665948
133 2.785430 8.860733 8.860733
134 2.954348 10.213940 10.213940
135 2.975521 9.890055 9.890055
136 3.053868 9.939286 9.939286
137 3.141573 9.635773 9.635773
138 3.069972 7.353641 7.353641
139 3.136896 7.686459 7.686459
140 3.383050 8.647099 8.647099
141 3.352970 9.233135 9.233135
142 3.313182 9.502229 9.502229
143 3.514477 10.426051 10.426051
144 3.621817 10.939399 10.939399
145 3.692506 11.280916 11.280916
