# t rg re s3 s4 s6
1001 4.312030 12.540929 4.115200044340986 3.961846982902741 2.461461337549212
1002 4.513600 13.457428 4.187575875547119 4.093347366272833 2.2627499285049613
1003 4.542393 12.434293 4.371817709224565 4.150453183787631 2.1405528625939505
1004 4.470949 12.017134 4.3865577229861215 4.11588943164696 2.3876433561873043
1005 4.407730 12.405239 4.180293835270032 3.9599926272907737 2.476475257457217
1006 4.373956 12.822631 4.1243342703676635 4.005756024686639 2.2332468194580195
1007 4.455361 12.894726 4.511128984767096 4.28375073669003 2.337345480987318
1008 4.678703 14.402460 4.579599191437188 4.418569450645349 2.419245746902642
1009 4.766354 15.244084 4.501610977987807 4.362881467077242 2.3230327628631113
1010 4.616845 13.451913 4.66650963217958 4.334980937682799 2.5427697247632333
1011 4.441775 13.091665 4.556618236038226 4.193818864736573 2.6807758586665886
1012 4.514653 13.516330 4.3738175777990795 4.197247188677431 2.7605095090924183
1013 4.489626 14.103697 4.289154540022265 4.09919096999078 2.4887763823267304
1014 4.483235 14.821203 4.475630631885406 4.175693955022398 2.6839281359672165
1015 4.442922 14.418293 4.543729192966256 4.199725235863783 2.291974649905794
1016 4.529929 15.017837 4.514708803995659 4.257340093471295 2.436489342216737
1017 4.534907 14.257513 4.326273264442633 4.195271347861379 2.5061365979718864
1018 4.201467 12.995242 4.307895554585896 3.996835395548048 2.5114663578613814
1019 4.319784 12.212460 4.234945110563735 4.080483077481067 2.382902278644454
1020 4.474978 10.430113 4.35569828679754 4.248890766850429 2.20282737721256
1021 4.410133 10.903085 4.303413766350562 4.198987408457756 2.195650672592281
1022 4.263848 11.491057 4.35160788163089 4.0994023254310985 2.2205732546744925
1023 4.194863 10.856655 4.100656799714306 3.987308645079077 2.2586637334112223
1024 4.076620 10.691862 3.8657479005955406 3.83749923219718 2.5081842620483243
1025 3.867092 8.739157 3.955338022053297 3.7237620109289087 2.511334756871883
1026 3.838497 9.596021 4.070169847802231 3.695166279144617 2.4366925936276265
1027 3.864111 11.414368 3.9292150830538963 3.640457176790759 2.4939000123743345
1028 3.934384 12.292294 3.6360795591170074 3.563676359176812 2.479752245926957
1029 3.891849 11.990953 3.7625213336431607 3.5816490037958606 2.6392156601932877
1030 4.025240 12.317383 3.995016900991274 3.7889143604274707 2.6427145267324077
1031 4.208329 10.664449 3.851154856318586 3.849339679646192 2.3934644274427592
1032 4.275118 11.443118 4.198185060105897 3.982916140010178 2.52590543329309
1033 4.391469 11.522313 4.257633216476646 4.060051904184744 2.486817145771577
1034 4.514342 11.713902 4.5250835025088465 4.223791964586338 2.3736000538320634
1035 4.694665 11.078539 4.5590144278216505 4.4192688669561875 2.344622998869798
1036 4.703767 11.897003 4.537244385352006 4.431705781574004 2.3136932892803936
1037 4.675203 12.944149 4.453291856919697 4.368828541663401 2.5626571516941854
1038 4.694483 12.912001 4.427237076524737 4.3542685225087325 2.5434188291083992
1039 4.591109 11.852991 4.450503876420662 4.284170155177225 2.531204207902593
1040 4.484827 11.844611 4.245831626197587 4.169669564918408 2.385743897120962
1041 4.164267 9.976243 4.139507167835083 3.9446021890669223 2.3899596646542447
1042 4.186883 11.135846 4.165239561042396 3.9553993902954305 2.6490997809920764
1043 4.261167 11.389315 4.13494991480287 3.956734032686987 2.5545018476026606
1044 4.448568 10.725409 4.423169221323802 4.2180065436724385 2.395232303799087
1045 4.479847 11.318129 4.574733432770604 4.345492275507378 2.3142537488206116
1046 4.270257 9.193400 4.411067374177138 4.147364391079747 2.4262574951436617
1047 4.262856 9.678527 4.082129393909475 3.996770587208183 2.477540615791599
1048 4.034836 9.146599 3.9024612568952914 3.7717975748362105 2.2603557402064296
1049 4.184228 10.381747 3.9885265965916155 3.8869451352065076 2.2362825212943185
1050 4.185192 10.526474 4.140342268765779 3.9241111166076807 2.708564331492814
1051 4.132472 11.247112 4.229120901460646 3.9692406653514007 2.610343795664869
1052 4.097166 11.823263 4.248387156507853 3.966907499422669 2.455657215219402
1053 4.041690 11.126515 3.9438486328786495 3.8227242986973673 2.3893884903771174
1054 3.893066 10.619014 4.036006726660848 3.7435471172029393 2.6965348131663918
1055 3.758667 12.299462 3.929779499521724 3.648093675125962 2.462530963708139
1056 3.920170 11.891335 3.9016181405307035 3.7496673108364496 2.520623790186644
1057 4.139554 11.498283 3.9399458701307397 3.92491746270383 2.399568582420941
1058 4.117744 10.902659 3.9664346902298853 3.9176563205993644 2.267343617285597
1059 3.953153 10.789408 4.1741303258627545 3.839114125307719 2.381485908668238
1060 4.055623 12.008230 4.0519093986704355 3.810929048571813 2.219648765207767
1061 4.066345 12.087557 4.045703679513176 3.8586795017599527 2.2663950706706113
1062 4.196027 10.783074 4.070194874896117 3.985710715391861 2.4089298204618586
1063 4.090057 9.766981 4.286663782920856 3.997116775997224 2.662303633268151
1064 4.018379 10.205582 4.211446183191287 3.9053417435091413 2.1623687173272335
1065 3.829242 10.434935 3.9980952566139996 3.7003417718387683 2.6376153956506707
1066 3.759608 11.742563 3.8235142810281055 3.561863631550911 2.3931873900649205
1067 3.659695 10.153147 3.8010453870930845 3.555661216807963 2.6089698945893214
1068 3.660476 10.731344 3.944737567252256 3.620176222651751 2.5260325247323085
1069 3.796373 10.097094 3.890921322737988 3.685515215148889 2.5093755007653358
1070 3.687136 10.652073 3.758279148057227 3.537651895392815 2.6390735516969572
1071 3.628074 11.139654 3.623449501019159 3.427174492587785 2.491629776894803
1072 3.634849 11.305658 3.672761564345827 3.4477621997356542 2.2517977235174107
1073 3.966504 12.168231 3.98208373706404 3.7416340633699625 2.374245303307805
1074 4.287671 13.676354 4.199096256880861 4.000596855966689 2.687450797023826
1075 4.407849 14.074689 4.161949967576603 4.082658361089292 2.5078416371956163
1076 4.520811 14.095202 4.252691954500521 4.172566143499753 2.426617454981259
1077 4.455175 13.591919 4.107560886005855 4.052047173488397 2.3539714462655654
1078 4.499273 14.491109 4.440828398127406 4.201793627733803 2.4473531195133194
1079 4.569763 14.014922 4.545108837891271 4.296610349240322 2.497170745385055
1080 4.600527 13.361625 4.4562946038891855 4.25092610393651 2.474300978650242
1081 4.628678 13.987234 4.318691101861656 4.215687643495174 2.328333324531573
1082 4.596262 13.861582 4.3882593453956 4.2002177763076105 2.257573750919692
1083 4.588252 13.986671 4.333933084646092 4.1487501819895805 2.2787143562962613
1084 4.645461 14.631791 4.5374720706789855 4.2122292992530115 2.417715887465973
1085 4.517962 13.169748 4.49404002918852 4.159605413353219 2.342110767778882
1086 4.345090 12.631945 4.3935180184568585 4.039241486041117 2.2259057790568733
1087 4.386149 13.690246 4.464259170265653 4.118709541759182 2.360170617119641
1088 4.339722 11.927243 4.306442785272373 4.0665692981727855 2.408753153777367
1089 4.263958 10.193072 4.102907577685207 3.986127127212419 2.1982267814324135
1090 4.093206 10.816618 4.122983926033497 3.923477134331959 2.3749717343870214
1091 3.784270 9.478021 3.6939830433948195 3.612506030063118 2.2342066660417217
1092 3.514094 8.904619 3.462933186596851 3.351224839667436 2.2710265247875867
1093 3.594793 8.560194 3.402373736205709 3.3682474909659197 2.1739717738560183
1094 3.631685 8.315917 3.602049927396897 3.4575241007670057 2.3788406226194194
1095 3.848424 8.948636 3.7400527054446053 3.6206632482646137 2.528215312566494
1096 3.883717 10.049966 3.7829224464933553 3.6379676761003306 2.743405051585365
1097 3.732989 10.721141 3.667523695933447 3.544762217220697 2.597503489879739
1098 3.847561 11.245424 3.5140401946435595 3.556952456649128 2.387240385922348
1099 3.910220 10.885061 3.8549279665877156 3.7259066918464407 2.7913956859541154
1100 3.903622 10.043337 3.933929011026893 3.735115597018553 2.60911443408629
1101 3.938209 9.663689 4.002393560882763 3.8286387854297503 2.5892542166092514
1102 3.939553 9.739044 4.0204953304554 3.8603249006847093 2.2714892538900857
1103 3.926353 8.685113 3.911547192733925 3.83215717832418 2.357802071204698
