# t rg re s3 s4 s6
100.0 4.380307 11.049537 5.137966546158721 4.518392992972607 3.3548170040186895
200.0 5.032817 12.177232 5.23601279048295 4.984243779646516 3.561617955594992
300.0 4.489295 9.636921 5.292448921286005 4.642238614370628 3.9171785137176576
400.0 4.273714 8.170610 4.996891934232156 4.510667103470327 3.62457884212705
500.0 3.706657 9.098908 4.799667202201549 4.074016033092933 3.7800083632580463
600.0 4.476997 9.559845 5.039779719085732 4.566731027605743 3.8966754101508463
700.0 5.884541 15.469363 5.822750954565353 5.593556847985482 4.013215329325477
800.0 5.126865 16.466672 6.315916913915861 5.388572923354371 4.133651174982225
900.0 4.443333 11.794198 5.274349121684264 4.741267632410051 3.6099667751320537
1000.0 4.466296 12.777992 5.446965070830616 4.707014991194459 4.165126340661264
1100.0 4.546068 15.257141 5.541995465222069 4.680441500138655 4.173180211100468
1200.0 4.042950 10.197704 4.391518991891989 3.964003933101862 3.821754551600995
1300.0 4.754895 14.801257 5.32248745195064 4.784467430911394 3.863876446762099
1400.0 4.741349 13.955465 5.290013903029861 4.816311184011512 4.068893024349832
1500.0 5.338807 17.006012 5.485460854272425 5.161742443555559 3.608131505584526
1600.0 4.626573 14.853727 4.961394223111699 4.520293034679938 4.248609908567638
1700.0 5.291529 16.429570 5.63017019336055 5.134512944231737 3.994051977779568
1800.0 5.854191 17.961371 6.064945483288026 5.717093189765395 3.6196294823848727
1900.0 4.604875 14.775520 5.234058954443387 4.647231311812952 4.027631623797535
2000.0 3.490772 10.011942 4.35889257929071 3.7791881541453716 4.105438652298536
2100.0 4.832101 12.458140 5.159637403013142 4.923206758116033 3.635725777938473
2200.0 5.111124 13.299689 5.980141503905829 5.199483947917177 4.207399567052063
2300.0 5.148301 17.216509 5.2876431427101105 4.931452438059064 3.8236922565763765
2400.0 5.234889 16.335778 5.476780570660006 5.046303149072792 3.671738252037996
2500.0 5.570419 17.982818 5.6276123084769445 5.192255129123039 3.981710603676532
2600.0 3.772598 9.034153 4.758023582330176 4.008730169107967 4.127925905523314
2700.0 5.217324 15.695633 5.775074851545563 5.124307018734133 4.029081942669384
2800.0 5.162496 14.213448 5.299430012637873 4.960640909359216 3.7924356803313874
2900.0 4.503258 10.086811 5.3582283833835564 4.7927583516848795 3.7866190302703955
3000.0 4.950485 13.835414 5.829059429252606 5.131441344251673 3.6877819280975603
3100.0 3.823940 9.518036 4.948293100189253 4.074539205351056 3.923631530832489
3200.0 4.788395 12.966687 5.063618995131613 4.68274212782624 3.736632480364284
3300.0 5.860502 15.719271 6.437568133482234 5.81401126168485 3.392514534457166
3400.0 5.028608 13.529172 5.880165984933223 5.130788735890964 3.7877884282510315
3500.0 4.926494 16.034798 5.340890886808946 4.852061464979519 4.10610911674691
3600.0 4.569400 14.877578 5.29921942882478 4.671412954322693 4.066088040485655
3700.0 5.231432 15.780200 5.647088876156315 5.115318152733259 4.532875863834603
3800.0 5.441043 16.685126 6.179758712179253 5.452499920872427 3.7521089635422333
3900.0 4.997576 16.045147 5.616342405499145 4.887589323803953 3.983777898466725
4000.0 4.439111 13.376315 5.130349807741418 4.535906539522537 4.19523484397806
4100.0 5.542669 17.604457 5.790502415244329 5.421984549001984 3.9758172738062734
4200.0 5.214616 17.378342 5.478606263664545 5.026497044344206 4.093907150828262
4300.0 5.176253 16.302153 5.929622277829616 5.178614168604214 4.347573084873779
4400.0 4.367436 13.894129 4.678626565112134 4.275803038404642 4.138486910636593
4500.0 4.970411 12.695588 5.734129012547462 4.989062465596542 4.478807812773469
4600.0 4.400276 13.895774 5.011548896213852 4.526705890230726 3.9458708712430095
4700.0 5.391256 13.937468 6.22104547317914 5.45948795662608 4.636360198395156
4800.0 4.935345 13.740362 5.841649889055358 5.119969652131143 3.4380599320279472
4900.0 4.127117 10.633599 5.7051388112365204 4.680439253725642 3.8911851379972977
5000.0 3.518684 5.247869 4.3847908978254875 3.786683407895701 4.0986825653826315
5100.0 4.201955 8.618747 4.517838722808927 4.1751493693000015 3.9611044608913337
5200.0 5.307068 16.149663 5.99460883926555 5.3270815431472895 3.6306166336460928
5300.0 5.026564 13.503608 5.412743718234328 4.966668108745425 3.7638290786044326
5400.0 5.053226 12.423712 5.529539107427295 5.11721121900834 3.719813923783916
5500.0 4.764601 11.857146 5.421754285922268 4.821426352948836 3.541424637375544
5600.0 4.288884 10.629825 4.906309950676492 4.4866194872536305 3.521116219554498
5700.0 5.077943 10.934614 5.674092981342056 5.234116230725421 3.7527566606430574
5800.0 3.793835 8.157513 4.329889460795143 3.968919848160909 3.8641198882691525
5900.0 5.345655 15.263419 5.493617554428155 5.148131355865235 3.7892483093769576
6000.0 5.360842 14.056500 5.973174581933823 5.414159887898857 3.8143815198932742
6100.0 4.700538 11.122508 5.189387892747541 4.737969486449692 4.255595054937817
6200.0 4.672924 12.672246 5.292603201055911 4.809067554060067 3.6614483045471284
6300.0 4.780103 13.817571 5.169346434257711 4.816768838857874 3.613512114409894
6400.0 4.040019 10.174002 4.776044369855489 4.2350686047466874 3.5958727966169213
6500.0 3.835126 9.572233 4.270098990716259 3.923843307228904 4.06719262987259
6600.0 4.867203 13.296440 5.581652128481842 4.94049324907061 3.7659630890910165
6700.0 4.423536 11.187671 4.99560189444788 4.555054610752209 3.4347571466544533
6800.0 4.606167 12.620095 5.115454908140362 4.593084508011463 4.288893675872845
6900.0 5.245367 16.677089 5.375720907871615 5.067559572432939 4.220691044580618
7000.0 4.694232 11.476980 5.1815349191711375 4.792905974704341 3.919151466006638
7100.0 5.023190 15.180591 5.402183997642783 4.925515468379872 3.619184909117671
7200.0 5.290071 15.128787 5.629710756633736 5.231574558570962 3.8259007559256344
7300.0 5.252353 14.898024 5.806220850792688 5.180999140004734 3.8127334576112655
7400.0 4.406383 13.221233 5.011107623668768 4.427356107055563 4.4847754487444735
7500.0 5.285210 15.095002 5.614399743080009 5.220282821078784 4.264272043633041
7600.0 4.763117 13.423963 5.632511316420829 4.945441757347269 3.331290980488961
7700.0 4.646656 12.927537 5.008410081838795 4.533709470600484 3.9781292320703465
7800.0 5.247890 15.137137 5.353942468246164 4.999404685118231 3.8951811722656657
7900.0 5.569299 16.190629 6.210839331408561 5.5888634070971 4.043081182524663
8000.0 4.715797 15.315896 5.226176808508787 4.6369109176141015 3.9916127967063586
8100.0 4.440033 11.997228 5.005191759663396 4.471116892271241 4.104071247617155
8200.0 4.596407 14.933630 5.192247490643202 4.603310532188187 4.037115913135458
8300.0 4.951183 15.721767 5.551898001279927 4.915671059693427 4.430878538011698
8400.0 4.589397 14.837191 5.13263289088441 4.5867827540961175 4.195954890058647
8500.0 4.153728 10.035698 4.941845906973615 4.298170250280581 4.224156328075494
8600.0 3.839300 9.380001 4.625878344334486 4.060380033884447 4.110251000771457
8700.0 5.237332 14.293620 5.513822502592368 5.094608013215386 3.8607711031704564
8800.0 4.765349 14.641240 5.145365662842438 4.773764337242451 4.096547884115521
8900.0 4.214068 8.097003 4.867213332246259 4.321161395385429 3.6106956434612845
9000.0 4.223618 10.541204 4.721411244014089 4.227172583110373 4.079602958784529
9100.0 4.660313 12.544701 5.359296336553538 4.819029031936379 3.8565253814939413
9200.0 4.821336 12.487996 5.182154083437059 4.72806447394386 3.7454161734649927
9300.0 4.769853 13.216977 5.691165397828133 4.881722364916989 3.7235788052703165
9400.0 3.851993 10.697579 5.029754791835424 4.268050004765041 3.653006665442142
9500.0 3.921517 9.314298 4.750414954067852 4.155503463704113 3.712265566762333
9600.0 5.189444 15.041341 5.759630165412036 5.127489057918145 3.7526634155036414
9700.0 4.919814 12.261617 5.5177416127600525 4.961591693698939 4.034720725400522
9800.0 4.791745 12.693540 5.432650625574852 4.829643482643726 3.3647502097445465
9900.0 5.406859 16.690304 5.799227789915612 5.2215171315387225 3.922385429435749
10000.0 5.017297 13.764098 5.690213084575647 5.159683906713749 4.10158028504869
10100.0 3.948084 11.019100 4.69921958889964 4.156370482335054 3.835534860365196
10200.0 4.039768 9.660284 4.652044349227667 4.178850028145234 4.029056584291806
10300.0 4.662132 12.258878 5.677531607088009 4.865687221027067 4.0058521437418095
10400.0 4.229276 13.144219 5.047284391437088 4.386066927230701 3.874888830937107
10500.0 5.237452 16.431459 5.8329588278458875 5.145402335048832 4.443315100196785
10600.0 4.525770 10.826007 5.284110363218191 4.688625697910536 3.853621544485131
