# t rg re s3 s4 s6
100.0 2.353813 5.333243 3.729314769483385 2.9326552187818544 3.965476275219004
200.0 2.092916 3.569385 3.855375846794161 2.9075856010732863 4.912135084523222
300.0 2.608687 3.006300 3.504852763837599 2.971212408364817 4.7056990086701544
400.0 2.388350 4.529325 3.4333398569874936 2.839039668308978 3.5673795390582033
500.0 2.633243 2.761757 3.495025755598376 2.9099044682067357 3.670130873034981
600.0 2.305440 1.314933 3.6961859108603794 2.8570518264582208 4.2041153451399556
700.0 2.212077 5.188936 3.8821725606711426 3.0251521424867978 4.4027986419494844
800.0 2.453825 3.894395 3.712040417984163 2.9923756552966423 4.01463393047307
900.0 2.610957 2.677716 3.7966001798734994 3.0811804133770653 3.8846450973396895
1000.0 2.286183 3.043465 3.800465254408925 2.9497699813875267 4.471428770170433
1100.0 2.887227 4.355256 4.07286063247016 3.298699505117778 4.471966215684011
1200.0 2.559532 6.805921 4.219144472624485 3.1079750298609494 4.739257318113313
1300.0 2.556057 5.807584 3.717806361062982 2.9789665343489258 4.706398370492097
1400.0 2.288583 5.996621 3.5687945013170816 2.820280636608175 3.644748404096327
1500.0 2.907630 5.294951 4.201563323739553 3.4271467418794623 4.059031776312154
1600.0 3.060887 9.837373 4.351808301638106 3.5375384803614383 3.6324930527108923
1700.0 3.045035 7.939735 4.086633062425671 3.4776466619665576 4.715351326036305
1800.0 2.531590 6.544732 3.7764429072754506 3.0234967167105595 5.330451205894355
1900.0 2.653905 8.472255 3.9309169514580815 3.1156726865949786 4.528356425825316
2000.0 3.112593 10.046410 4.396658444435042 3.4360437197933806 4.505360384851889
2100.0 2.936808 3.980951 3.8177884286858292 3.249164963937422 4.385693792160356
2200.0 2.987365 6.911370 4.139842635319068 3.395263323497161 4.29084129386808
2300.0 2.541372 5.789051 3.4090219601865 2.927870769171176 4.431349265957283
2400.0 2.145750 1.998202 3.5312344183304436 2.757311236023282 4.785255921109166
2500.0 2.415630 5.295796 3.9817565586985246 2.9890028177856873 4.223251556170759
2600.0 2.762538 8.081771 4.450311921378817 3.42511560461165 4.1235725053536445
2700.0 2.485424 6.231229 3.8201300229120143 2.92127824134768 4.553430055603511
2800.0 2.096602 3.135912 3.784389807575688 2.90801079207385 4.670175754650772
2900.0 2.230458 3.185336 3.740141599172008 2.9210793661176715 3.869212029954289
3000.0 2.370537 2.001823 3.970296924144045 3.1014101404062155 4.244225004490622
3100.0 2.356112 4.407567 3.707369609177542 2.984406475828266 4.446714867225732
3200.0 2.427696 3.930307 3.622203192445985 2.941882316158261 4.343363723558394
3300.0 2.451933 2.714895 3.6928752375112373 2.9183933302775946 4.240374026103554
3400.0 2.345641 6.817571 3.7024352643081992 2.7769775674258437 4.421608236155976
3500.0 2.338182 5.784977 3.533608475662361 2.8509057822727613 4.6291499112954275
3600.0 2.076057 6.756150 4.088697794795391 2.9156515189839127 3.977992049593961
3700.0 2.355775 4.057940 4.029773258318281 3.0659708207780976 4.017365603239126
3800.0 3.959765 12.896176 5.005965798092421 4.287349688916155 4.007817705082215
3900.0 3.204142 8.293115 3.649957058582458 3.143967533354632 4.456690749753279
4000.0 2.114787 3.170491 3.7056106113171214 2.86237782568268 4.786749717944559
4100.0 2.465135 2.851731 4.122978011347924 3.062494291062069 4.641793915353806
4200.0 2.184007 2.914584 3.800030616909077 2.9601943267568642 4.1130387610793555
4300.0 2.333127 2.270141 4.048066258138476 3.055006497126713 4.404134169538237
4400.0 2.851170 3.933569 3.6263227965429405 3.0344552969216885 4.202042404092528
4500.0 2.230024 5.636887 3.801232337821219 2.898216093605831 4.165529910230885
4600.0 2.683071 4.517195 3.7894932720413923 3.0632913561242323 4.393762076977963
4700.0 3.203896 9.530900 3.9606692401064323 3.3130782528664424 4.538306335390235
4800.0 2.503356 6.092033 3.970027812853231 2.963380141474011 4.408562772423897
4900.0 2.462012 5.109647 4.297732362805235 3.263160203731769 3.9134046859832865
5000.0 2.324695 2.363973 3.6999037102579733 2.774604002890974 4.862869655553234
5100.0 2.637623 4.199302 4.301918997483968 3.2506929920198018 5.510906298693832
5200.0 2.646927 5.771304 3.780801944663761 2.990482544123464 4.746140389403804
5300.0 2.083030 4.271607 3.98512563616697 2.9826328573347554 4.0514968109034815
5400.0 2.396968 6.452461 3.7302394922983666 2.899777865148407 4.031239560092138
5500.0 2.505467 4.323532 3.8838756589067565 3.108559640504804 4.155435982941201
5600.0 2.481971 7.280659 4.072750535887902 3.0185413777522463 4.966759692486163
5700.0 1.909091 3.041566 3.8654335356995526 2.834466973687775 4.1956517254764565
5800.0 3.063516 7.957281 3.785322665431175 3.280295056381014 4.120191262404955
5900.0 3.325162 9.334351 4.626877854701233 3.799867175970914 3.972540616576502
6000.0 3.355179 7.131939 4.307499831419351 3.7050700308556666 4.065055208438698
6100.0 4.460504 11.343877 4.753399399112412 4.548287977242288 3.5913601797593855
6200.0 4.031191 9.718042 5.267709630136317 4.257631290308407 4.383358396021126
6300.0 3.014353 6.065016 4.219293623513488 3.5294413957461375 3.9722934450992335
6400.0 2.665978 3.100119 4.0413987316209825 3.2091261856150113 4.110474857233256
6500.0 2.401936 6.506674 4.039681877018398 3.047430531528398 4.580928624816693
6600.0 2.662294 4.286847 4.0351860529153285 3.177631748574375 4.170817577219167
6700.0 2.284186 2.181244 3.4228681992085046 2.8091018072211025 4.106242598837451
6800.0 2.481319 2.903621 3.5149413366773996 2.9422596127486655 4.189547259606889
6900.0 2.773870 4.771211 4.154090176028938 3.1887628539301356 4.131749978300835
7000.0 2.521628 5.018825 3.7434112467865934 2.8941210841894973 4.783410453520089
7100.0 3.134868 6.464946 4.139983628241676 3.4321649908146132 5.12346434633868
7200.0 2.818559 7.727039 4.096287601942267 3.17240599987762 4.782813069527524
7300.0 3.486285 11.660839 4.1970739708004405 3.740840897592612 4.220309402934091
7400.0 3.864349 6.937658 4.459161496465887 3.9789138093585135 3.572572245146021
7500.0 2.894010 9.523547 4.398900764701222 3.4308744459814 4.585993961901102
7600.0 2.369669 6.349921 3.7815074172100642 2.9020389829705495 4.302713789464046
7700.0 2.663164 5.164653 4.126712255388272 3.2087691952288817 4.47203560166982
7800.0 2.851471 6.167053 3.779366132971575 3.120600784660343 4.177413565811409
7900.0 2.621243 6.597447 3.689353860077191 3.118189920602357 3.8270346210484436
8000.0 2.485049 5.080284 3.8617995830978145 3.070107127245502 4.772872851486638
8100.0 3.408969 9.635239 4.672910509509199 3.8933660605680385 4.0117509580481086
8200.0 4.119936 11.091858 4.881803697863536 4.422175949376615 4.045641434615308
8300.0 2.465045 5.279741 3.50510959678029 2.8050085811000613 3.765328577240942
8400.0 2.597781 3.130329 4.188980759264989 3.210936242810456 5.36621692665676
8500.0 2.609333 5.286078 3.7809952446982646 3.0294110748688543 4.1800674820340635
8600.0 3.138497 9.531381 4.052199467719716 3.397844359097072 4.182082895737126
8700.0 2.849351 8.339756 3.845999476686474 3.22743233611054 3.7686668801213252
8800.0 3.499109 11.711140 4.685462399376228 3.721825425611134 4.590032311777133
8900.0 2.394673 4.083005 3.537721647691022 2.9053387899606107 4.308301338598998
9000.0 2.419329 3.393128 3.6075413215967855 2.9946840136917863 4.023823193755571
9100.0 2.066151 3.487264 3.7319169660320757 2.8662855057528573 4.366364731208702
9200.0 2.455566 4.876301 3.3874079290940604 2.786327060880678 4.1454442251365275
9300.0 2.145209 5.911324 3.4370163001981227 2.796639377215543 3.4564245032580247
9400.0 2.321565 4.899283 3.982310964965955 3.082216228458199 4.538123039219948
9500.0 3.626973 9.688738 4.537529252182823 3.7472317117606435 3.978634945338598
9600.0 3.205623 8.016658 4.233594689772554 3.602161023451906 3.733510627749581
9700.0 3.620989 7.405031 4.586266938990062 3.9148633767073733 4.571269825461353
9800.0 2.845134 8.327087 4.59634802059625 3.464438546239958 4.262560499284624
9900.0 2.839480 7.974776 4.0452547217608545 3.302731797330662 4.50544528988804
10000.0 2.581356 6.351935 3.704550935228075 3.1440054589598927 4.63635242680958
10100.0 2.516619 3.680167 3.6699041242069512 2.801087890439106 4.210506156144564
10200.0 3.058904 4.263514 4.329088982656709 3.543879862675284 3.984043042028419
10300.0 2.720016 6.339614 4.067791957186437 3.2861660985841965 4.7862585461898615
10400.0 2.706152 3.833312 3.7692242952610844 3.100997743315719 4.289983596549941
10500.0 2.891761 6.637050 4.135190081629912 3.4233737034235765 4.438064588129988
10600.0 4.105745 9.909643 5.190021117907335 4.398716218913172 3.834944470618074
10700.0 3.727753 11.505869 3.979449768058957 3.6134821933650447 4.185555787804689
10800.0 2.524007 6.846932 3.801549558482204 3.1060679375941174 3.5626477647106256
10900.0 2.638378 5.450387 3.8652638755403004 3.0796733147480997 5.20511777565357
11000.0 4.695964 13.089577 5.063634675932238 4.544477972805815 4.197265964133777
11100.0 3.531674 11.788469 4.78023725109589 3.997341759534532 4.055768214196889
11200.0 2.552972 6.112246 3.6169488871499955 2.9123581954329714 4.058556081532689
11300.0 2.400856 6.147111 3.98106135259696 2.97408392942372 4.311006357336709
11400.0 2.839209 2.145907 4.105187275184707 3.273019616324017 4.0310210432091145
11500.0 3.019863 8.437278 3.985160700242617 3.271785161140649 3.8064845383652246
11600.0 3.216336 8.582908 3.9806254229709617 3.49948950072139 4.821850886733219
11700.0 3.979452 10.780045 4.826226354258459 4.1925235921354425 4.163047973719492
11800.0 2.289492 5.733621 3.8380370216069584 2.8868140516405463 4.449975515198601
11900.0 2.259093 3.200952 3.3471322190984982 2.7778302372951003 4.131222888360434
12000.0 2.060120 6.092901 3.518390416689674 2.684368953651866 4.144799895494957
12100.0 2.608845 4.613582 4.176383636154142 3.1290494102334714 4.420277385003887
12200.0 2.375077 7.198492 4.142515332335691 3.0648141534903517 4.862131578867709
12300.0 2.160546 4.958878 3.8401942505509616 2.8715258036963225 4.436427766014765
12400.0 2.098754 4.959031 3.839212250594866 2.844841140774686 3.907760338643423
12500.0 2.450908 6.761307 4.073838731607204 3.053790979210144 3.8743779063196704
12600.0 2.139978 3.369992 3.6707859072992415 2.7732166682141615 4.634624296806772
12700.0 2.356436 3.194570 3.8228111799669953 2.9395589705628744 5.087050212677883
12800.0 2.370394 2.204711 3.6984367225355648 2.8470965187935526 4.144868467161789
12900.0 2.593958 8.230137 3.884839270130961 3.0384942822088195 5.0908314984764065
13000.0 2.332544 5.608490 3.941048460763137 3.0440712137784565 3.884430065913718
13100.0 3.700467 11.753232 4.931187650642566 4.034151439272668 4.923411003233051
13200.0 3.116896 9.461491 3.949340207876058 3.351215420136943 4.884073684107718
13300.0 3.413474 8.558939 3.859950412813651 3.400801487275343 3.9584803180468247
13400.0 3.002118 6.310967 4.430825660905924 3.5435847455958673 4.424341086446511
13500.0 2.233708 3.371328 3.8001224998677303 2.9084516972288808 4.579978049040184
13600.0 2.365042 4.487786 3.8066809511547315 2.925917286316849 4.5566497239374515
13700.0 2.600029 5.651493 3.607303170177296 2.8506682923679985 4.923848442748961
13800.0 2.685668 4.126812 3.92490310958696 3.258607861382676 4.451923545956504
13900.0 3.120362 7.890469 4.633652529764037 3.6831807110940527 3.6466179796241613
14000.0 2.489350 5.715623 3.9162534116023826 3.0740701922528313 4.61645161953154
14100.0 3.123272 4.364172 4.257041436876038 3.490645164681848 3.6719211990130938
14200.0 3.004828 6.549323 4.155314740875861 3.440107843516479 3.9776408412913784
14300.0 2.433416 3.006430 3.88308755911219 3.0040390766883207 4.575936881944415
14400.0 3.564191 9.283708 4.627949872591206 3.733384900660952 4.098445294061056
14500.0 3.255562 8.779152 4.017990223669381 3.5677839704739394 4.198484268344683
14600.0 2.277277 3.819849 3.6014844618891244 2.869422717062277 4.659931146274412
14700.0 2.640472 3.899689 3.6964836896133373 2.900018416649386 4.357145776202405
14800.0 2.314964 1.668741 3.7148468610846113 2.8875364338270484 4.70345260721233
14900.0 2.906791 3.448174 4.019995677184472 3.3378462342820976 4.653802086228916
15000.0 2.298633 4.656477 3.97142722786229 3.0539115744459835 4.542263289554469
15100.0 2.259286 2.201528 3.8068863606430012 2.8928182915778473 5.078550925504973
