# t rg re s3 s4 s6
100.0 5.895296 16.583522 5.291089632287176 5.447054077830956 1.7115431244003683
200.0 5.830029 18.552980 5.1561303028504994 5.338894604715625 1.7374298122672205
300.0 5.779569 15.277507 5.300015189078412 5.308934570097708 1.7984442962102878
400.0 6.453409 20.352181 5.610725405688831 5.729518907173368 1.7198165640477272
500.0 5.499581 16.782976 4.888656102502252 4.990474768853056 1.7148005909139135
600.0 6.453123 20.747395 5.55973324621353 5.674683268343646 1.7803904266514685
700.0 6.469190 20.670168 5.569418514979495 5.7371609049112235 1.7783183287235647
800.0 6.193379 19.436490 5.369705690874198 5.499413443586955 1.7597785963939472
900.0 5.973155 17.299528 5.273137042897193 5.3521268325298275 1.6704062221931137
1000.0 6.333626 18.801068 5.473396097056805 5.599410990889705 1.6557021589816903
1100.0 6.282487 18.986715 5.390845244190737 5.599136673267126 1.7257500630890985
1200.0 5.780151 15.332757 5.082551395005743 5.196046488145106 1.692197817793014
1300.0 5.424031 16.030607 4.812161938343669 4.886874709135694 1.621092776247186
1400.0 5.954907 17.150969 5.499470008842933 5.605053410964543 1.7447032078396696
1500.0 5.589127 17.098358 4.878530189481753 5.034486532557098 1.6730034015283397
1600.0 6.181155 20.301012 5.362738001934361 5.520812349665815 1.6949487627339432
1700.0 4.803991 11.863263 4.536289127285833 4.564378901400807 1.6745596423542382
1800.0 6.040442 18.973733 5.300352560246669 5.415673198829412 1.7231757071832015
1900.0 5.752360 16.560848 5.257078225599497 5.266035904625112 1.694718018735663
2000.0 5.482738 15.546574 4.901963862917029 4.998642970938418 1.7020851783619384
2100.0 5.124583 12.538794 4.709947144242672 4.782781935849241 1.6948765958612502
2200.0 6.171738 19.033367 5.475672548584681 5.630433345015534 1.737829099781415
2300.0 5.406759 15.930705 4.930203572542205 5.043495208088682 1.7051833747552003
2400.0 5.989206 17.586979 5.304139320436123 5.3883517361409465 1.703394495138215
2500.0 6.024137 18.334351 5.261155846012923 5.385344684493326 1.7417530052785406
2600.0 5.886915 16.249189 5.317295168232177 5.42676224975447 1.6993526317223118
2700.0 5.927832 16.724154 5.23864856704417 5.355314093157518 1.6863814410997215
2800.0 5.560898 13.755183 5.13505132368376 5.261724367885084 1.7472448664688474
2900.0 5.296110 13.933191 4.857478619262652 4.899524824736942 1.7683882366963861
3000.0 5.832207 16.599061 5.273685736080599 5.394403541852884 1.7638317358816527
3100.0 5.831196 15.897992 5.19114563945166 5.348641298618126 1.7050795925007667
3200.0 5.632389 15.760015 5.043857371003322 5.148278485906286 1.7402521579252472
3300.0 5.899039 17.203319 5.242612466829167 5.403166964712653 1.6631641269202115
3400.0 5.793726 16.556895 5.108945318852377 5.290750001330805 1.7220880039796427
3500.0 6.209348 18.179477 5.520255540259734 5.63204040047686 1.7687750283399206
3600.0 5.776838 15.616567 5.233484250292312 5.291173290431039 1.6395251623263773
3700.0 5.281399 15.995189 4.7768035780045155 4.856074376405923 1.6718615620439938
3800.0 6.413545 18.862262 5.641474563771739 5.741296833957984 1.8109637471259188
3900.0 5.755797 17.817096 5.140724426859533 5.256504935090384 1.7244339194361082
4000.0 5.900025 18.703030 5.3053307365190925 5.3497331988151915 1.6239351228899184
4100.0 5.301137 13.443029 4.803526025164491 4.854932086747541 1.6546966562425438
4200.0 6.225210 18.800669 5.39197262730362 5.511525716536084 1.6545054566765764
4300.0 5.674280 15.817806 5.079725368971036 5.177113456176217 1.7097627265603434
4400.0 5.785517 16.197267 5.236082687692283 5.292590657928584 1.6941220426234327
4500.0 5.962361 19.183050 5.266502243120106 5.402806244945401 1.7801211145809053
4600.0 6.971404 21.294041 6.08889049719606 6.183347870958754 1.7753407841314193
4700.0 6.029575 16.126694 5.320039869497591 5.430953678315517 1.672499582616187
4800.0 6.488630 18.822869 5.7047858221547205 5.824046595794227 1.746831044050872
4900.0 5.679734 16.581615 5.189167425994733 5.311493392304605 1.6601850349660434
5000.0 6.035456 19.287083 5.217173948356506 5.3230469872272135 1.715485502953357
5100.0 6.139716 20.178473 5.287436387604731 5.391448969595136 1.699602795895272
5200.0 6.025029 18.314249 5.247423605428038 5.377862465421129 1.7326992786567739
5300.0 6.212296 17.999245 5.384384913010052 5.516004240852406 1.703276673277451
5400.0 6.125565 15.149973 5.535615597358687 5.5625631183673425 1.7641294817213014
5500.0 5.719708 14.755100 5.277396986205906 5.4407264285219314 1.7662570199248913
5600.0 5.387697 14.103794 4.907236231892653 5.020302668818955 1.6063678751957133
5700.0 6.118753 17.718648 5.314436278137021 5.431886248797181 1.6879750101646074
5800.0 5.063321 12.323194 4.7367456327700035 4.799874825717779 1.7314370483386747
5900.0 5.801840 17.984124 5.264069460081234 5.272988159526191 1.625638023297597
6000.0 5.991312 16.869383 5.342549569105196 5.395543345909444 1.7089092700284005
6100.0 6.114183 18.699094 5.374108783149697 5.443092046722275 1.7814213962588568
6200.0 5.588961 15.536062 5.129362666178076 5.159133430520012 1.7451107994465045
6300.0 5.778469 16.549436 5.086246733945584 5.228329823443468 1.591325049348558
6400.0 5.828906 15.580660 5.392181360418727 5.424124015070866 1.6688024579064247
6500.0 5.676073 17.740572 5.026750601857712 5.1619601637091375 1.7891474170717394
6600.0 5.974952 18.903402 5.244462941412078 5.296044097970907 1.653086196990269
6700.0 5.831062 15.700185 5.269237072451958 5.300149239027106 1.625622307981269
6800.0 5.945749 16.403857 5.330427988176342 5.418945295227526 1.723555016566544
6900.0 5.882065 16.804131 5.240818217285283 5.3349830389872634 1.766434996940665
7000.0 5.334408 13.062240 5.002737436476385 5.0518805257018 1.7015491961342064
7100.0 5.524483 14.572085 5.008326486984981 5.062870745629751 1.7264924878879355
7200.0 6.176906 17.621918 5.422435255082093 5.573476654129489 1.7210565060246985
7300.0 6.279561 18.954887 5.5311284332139685 5.647495477825309 1.760739606841425
7400.0 5.416458 14.674325 4.904053604644277 4.9504175815968114 1.6835012785741412
7500.0 5.549813 16.379463 4.934748590671108 5.067309570039156 1.713571992598488
7600.0 5.571943 15.922198 5.1401538997688325 5.157988422771532 1.7463474401841104
7700.0 6.254138 17.600025 5.621889843345271 5.777405556954967 1.6442375403416896
7800.0 5.832640 17.977829 5.199005816133564 5.264862746811454 1.6835063812542153
7900.0 5.986762 17.806412 5.221520038720785 5.281433938415936 1.7134364336901662
8000.0 6.970208 21.455577 6.023867237702775 6.174948384054283 1.7154554007149827
8100.0 5.850934 16.510268 5.3493390219579595 5.39062330486414 1.732330966205033
8200.0 6.314848 20.473402 5.438691620509257 5.611718644256149 1.713003577719751
8300.0 5.826011 17.958509 5.062105690450651 5.215523453447857 1.6487360148059296
8400.0 5.839571 16.709948 5.110274061340866 5.239770430666017 1.735863633270135
8500.0 6.270097 19.370714 5.391782672602572 5.558739321485426 1.6464500761752514
8600.0 5.401839 16.545327 4.79773462029496 4.874511982590524 1.7188396237607382
8700.0 4.990068 13.743159 4.665885034566978 4.708811156727233 1.7555304148728763
8800.0 5.857941 18.485677 5.036735960406515 5.216403026918423 1.6581089135050957
8900.0 6.305700 19.556329 5.460759331687829 5.559819196717654 1.6381408039173635
9000.0 6.087453 18.483901 5.395890563569059 5.525079418386977 1.7124143385348223
9100.0 5.428193 16.305112 4.867130281088037 4.945395025650988 1.7207947579425162
9200.0 5.807233 16.432630 5.367933482446746 5.3928287072621 1.6896706357809437
9300.0 5.718203 15.198344 5.36859289652059 5.404169975614514 1.778409147632053
9400.0 6.173187 18.671977 5.360735430433034 5.465886748598794 1.66380862640653
9500.0 5.469096 15.666046 4.8982319405909545 5.002097581783795 1.8186812493687619
9600.0 6.630010 21.306717 5.73550182078662 5.911769711924107 1.65606408754796
9700.0 5.537487 16.605563 4.837089285849108 4.923468000569772 1.5881856945408899
9800.0 5.507373 14.326929 5.016711650595454 5.040913729552378 1.726839044138406
9900.0 5.587259 17.643745 4.825007251960106 4.950054558456178 1.7458834376600645
10000.0 6.135736 19.679140 5.316975198201829 5.38936338163033 1.7019085734394028
10100.0 5.724685 18.149592 5.00578133774244 5.139556111309989 1.660774989764678
10200.0 5.839991 17.245762 5.149062122446826 5.225297565638165 1.667632664460703
10300.0 5.993388 16.728228 5.300842385213275 5.3780805229500235 1.69930997184546
10400.0 6.464760 20.281070 5.4975426614112255 5.69262223273804 1.7091796895948443
10500.0 6.466774 18.698252 5.605066507746517 5.720508030749688 1.7829289011773464
10600.0 5.982519 17.559105 5.292484925828777 5.364722442009708 1.7356350876219209
10700.0 6.139895 18.926590 5.312240968923274 5.422824707320494 1.7078368119936023
10800.0 6.518171 18.816795 5.779639421921775 5.8888872022736205 1.772766615519327
10900.0 6.011743 16.471046 5.543759250809688 5.636238925965291 1.7236026336101289
11000.0 5.842398 17.078863 5.11846310790307 5.192716601482778 1.6644877900808233
11100.0 6.290026 17.753421 5.530966720786943 5.668835415604009 1.650550257638686
11200.0 5.986951 17.569263 5.347122207758605 5.418306384944197 1.7429430078885273
